"name","manufacturer","caloriesPerServing","sugarPresentInGrams","RatingOfCereal"
"Mueslix Crispy Blend","Kelloggs","160","13","30.313351"
"Muesli Raisins; Dates; & Almonds","Ralston_Purina","150","11","37.136863"
"Muesli Raisins; Peaches; & Pecans","Ralston_Purina","150","11","34.139765"
"Total Raisin Bran","General_Mills","140","14","28.592785"
"Just Right Fruit & Nut","Kelloggs","140","9","36.471512"
"Nutri-Grain Almond-Raisin","Kelloggs","140","7","40.69232"
"Basic 4","General_Mills","130","8","37.038562"
"Oatmeal Raisin Crisp","General_Mills","130","10","30.450843"
"Cinnamon Toast Crunch","General_Mills","120","9","19.823573"
"Fruitful Bran","Kelloggs","120","12","41.015492"
"Nut&Honey Crunch","Kelloggs","120","9","29.924285"
"Raisin Bran","Kelloggs","120","12","39.259197"
"Fruit & Fibre Dates; Walnuts; and Oats","Post","120","10","40.917047"
"Great Grains Pecan","Post","120","4","45.811716"
"Post Nat. Raisin Bran","Post","120","14","37.840594"
"100% Natural Bran","Quaker_Oats","120","8","33.983679"
"Cap'n'Crunch","Quaker_Oats","120","12","18.042851"
"Honey Graham Ohs","Quaker_Oats","120","11","21.871292"
"Apple Cinnamon Cheerios","General_Mills","110","10","29.509541"
"Cheerios","General_Mills","110","1","50.764999"
"Clusters","General_Mills","110","7","40.400208"
"Cocoa Puffs","General_Mills","110","13","22.736446"
"Count Chocula","General_Mills","110","13","22.396513"
"Golden Grahams","General_Mills","110","9","23.804043"
"Honey Nut Cheerios","General_Mills","110","10","31.072217"
"Kix","General_Mills","110","3","39.241114"
"Lucky Charms","General_Mills","110","12","26.734515"
"Total Corn Flakes","General_Mills","110","3","38.839746"
"Triples","General_Mills","110","3","39.106174"
"Trix","General_Mills","110","12","27.753301"
"Wheaties Honey Gold","General_Mills","110","8","36.187559"
"Apple Jacks","Kelloggs","110","14","33.174094"
"Corn Pops","Kelloggs","110","12","35.782791"
"Cracklin' Oat Bran","Kelloggs","110","7","40.448772"
"Crispix","Kelloggs","110","3","46.895644"
"Froot Loops","Kelloggs","110","13","32.207582"
"Frosted Flakes","Kelloggs","110","11","31.435973"
"Just Right Crunchy  Nuggets","Kelloggs","110","6","36.523683"
"Rice Krispies","Kelloggs","110","3","40.560159"
"Smacks","Kelloggs","110","15","31.230054"
"Special K","Kelloggs","110","3","53.131324"
"Fruity Pebbles","Post","110","12","28.025765"
"Grape-Nuts","Post","110","3","53.371007"
"Honey-comb","Post","110","11","28.742414"
"Almond Delight","Ralston_Purina","110","8","34.384843"
"Corn Chex","Ralston_Purina","110","3","41.445019"
"Rice Chex","Ralston_Purina","110","2","41.998933"
"Crispy Wheat & Raisins","General_Mills","100","10","36.176196"
"Multi-Grain Cheerios","General_Mills","100","6","40.105965"
"Raisin Nut Bran","General_Mills","100","8","39.7034"
"Total Whole Grain","General_Mills","100","3","46.658844"
"Wheaties","General_Mills","100","3","51.592193"
"Corn Flakes","Kelloggs","100","2","45.863324"
"Frosted Mini-Wheats","Kelloggs","100","7","58.345141"
"Product 19","Kelloggs","100","3","41.50354"
"Golden Crisp","Post","100","15","35.252444"
"Grape Nuts Flakes","Post","100","5","52.076897"
"Life","Quaker_Oats","100","6","45.328074"
"Quaker Oat Squares","Quaker_Oats","100","6","49.511874"
"Double Chex","Ralston_Purina","100","5","44.330856"
"Wheat Chex","Ralston_Purina","100","3","49.787445"
"Maypo","American_Home_Food_Products","100","3","54.850917"
"Cream of Wheat (Quick)","Nabisco","100","0","64.533816"
"Quaker Oatmeal","Quaker_Oats","100","-1","50.828392"
"Nutri-grain Wheat","Kelloggs","90","2","59.642837"
"Raisin Squares","Kelloggs","90","6","55.333142"
"Shredded Wheat 'n'Bran","Nabisco","90","0","74.472949"
"Shredded Wheat spoon size","Nabisco","90","0","72.801787"
"Strawberry Fruit Wheats","Nabisco","90","5","59.363993"
"Bran Flakes","Post","90","5","53.313813"
"Bran Chex","Ralston_Purina","90","6","49.120253"
"Shredded Wheat","Nabisco","80","0","68.235885"
"All-Bran","Kelloggs","70","5","59.425505"
"100% Bran","Nabisco","70","6","68.402973"
"All-Bran with Extra Fiber","Kelloggs","50","0","93.704912"
"Puffed Rice","Quaker_Oats","50","0","60.756112"
"Puffed Wheat","Quaker_Oats","50","0","63.005645"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","91","","",""
